"n","p","type1_error","type2_error"
1200,375,1,1
1300,375,1,1
1400,375,1,0.999
1500,375,1,1
1600,375,1,0.996
1700,375,1,0.98
1800,375,1,0.933
1900,375,1,0.873
2000,375,0.999,0.773
2100,375,0.994,0.58
2200,375,0.941,0.474
2300,375,0.658,0.394
2400,375,0.233,0.347
2500,375,0.033,0.202
2600,375,0.002,0.095
2700,375,0,0.041
2800,375,0,0.028
2900,375,0,0.012
3000,375,0,0.003
500,400,1,0
600,400,1,0
700,400,1,0.002
800,400,1,0.295
900,400,1,0.904
1000,400,1,1
1100,400,1,1
1200,400,1,1
1300,400,1,1
1400,400,1,1
1500,400,1,1
1600,400,1,0.999
1700,400,1,0.995
1800,400,1,0.987
1900,400,1,0.955
2000,400,1,0.887
2100,400,1,0.814
2200,400,0.998,0.706
2300,400,0.969,0.546
2400,400,0.802,0.435
2500,400,0.435,0.345
2600,400,0.099,0.284
2700,400,0.004,0.154
2800,400,0,0.087
2900,400,0,0.051
3000,400,0,0.023
500,425,NA,NA
600,425,1,0
700,425,1,0.001
800,425,1,0.091
900,425,1,0.658
1000,425,1,0.984
1100,425,1,1
1200,425,1,1
1300,425,1,1
1400,425,1,1
1500,425,1,1
1600,425,1,1
1700,425,1,1
1800,425,1,0.996
1900,425,1,0.99
2000,425,1,0.977
2100,425,1,0.925
2200,425,1,0.822
2300,425,1,0.724
2400,425,0.99,0.622
2500,425,0.909,0.452
2600,425,0.612,0.353
2700,425,0.217,0.297
2800,425,0.03,0.221
2900,425,0.001,0.123
3000,425,0,0.0600000000000001
500,450,NA,NA
600,450,1,0
700,450,1,0
800,450,1,0.016
900,450,1,0.333
1000,450,1,0.897
1100,450,1,0.998
1200,450,1,1
1300,450,1,1
1400,450,1,1
1500,450,1,1
1600,450,1,1
1700,450,1,1
1800,450,1,0.999
1900,450,1,0.999
2000,450,1,0.993
2100,450,1,0.97
2200,450,1,0.937
2300,450,1,0.871
2400,450,1,0.758
2500,450,0.996,0.645
2600,450,0.959,0.504
2700,450,0.759,0.382
2800,450,0.352,0.345
2900,450,0.089,0.267
3000,450,0.01,0.161
500,475,NA,NA
600,475,1,0
700,475,1,0
800,475,1,0.002
900,475,1,0.109
1000,475,1,0.681
1100,475,1,0.978
1200,475,1,1
1300,475,1,1
1400,475,1,1
1500,475,1,1
1600,475,1,1
1700,475,1,1
1800,475,1,1
1900,475,1,1
2000,475,1,0.999
2100,475,1,0.994
2200,475,1,0.986
2300,475,1,0.956
2400,475,1,0.923
2500,475,1,0.808
2600,475,0.998,0.699
2700,475,0.978,0.541
2800,475,0.847,0.457
2900,475,0.535,0.388
3000,475,0.171,0.287
500,500,NA,NA
600,500,1,0
700,500,1,0
800,500,1,0
900,500,1,0.029
1000,500,1,0.4
1100,500,1,0.904
1200,500,1,0.994
1300,500,1,1
1400,500,1,1
1500,500,1,1
1600,500,1,1
1700,500,1,1
1800,500,1,1
1900,500,1,1
2000,500,1,1
2100,500,1,0.998
2200,500,1,0.994
2300,500,1,0.985
2400,500,1,0.955
2500,500,1,0.923
2600,500,1,0.83
2700,500,1,0.73
2800,500,0.995,0.642
2900,500,0.907,0.459
3000,500,0.669,0.385
2700,425,0.223,0.275
2800,425,0.033,0.212
2900,425,0.001,0.122
3000,425,0,0.0600000000000001
3100,425,0,0.024
3200,425,0,0.00800000000000001
3300,425,0,0.002
3400,425,0,0.00600000000000001
3500,425,0,0.001
2700,450,0.76,0.431
2800,450,0.334,0.362
2900,450,0.098,0.246
3000,450,0.006,0.172
3100,450,0,0.084
3200,450,0,0.04
3300,450,0,0.019
3400,450,0,0.013
3500,450,0,0.00700000000000001
2700,475,0.974,0.553
2800,475,0.85,0.453
2900,475,0.553,0.396
3000,475,0.187,0.303
3100,475,0.026,0.216
3200,475,0.001,0.11
3300,475,0,0.056
3400,475,0,0.03
3500,475,0,0.013
2700,500,1,0.708
2800,500,0.984,0.622
2900,500,0.919,0.496
3000,500,0.669,0.41
3100,500,0.315,0.321
3200,500,0.074,0.257
3300,500,0.006,0.194
3400,500,0,0.087
3500,500,0,0.053
2700,525,1,0.862
2800,525,0.999,0.782
2900,525,0.999,0.628
3000,525,0.957,0.515
3100,525,0.804,0.424
3200,525,0.454,0.376
3300,525,0.137,0.304
3400,525,0.022,0.208
3500,525,0,0.128
2700,550,1,0.933
2800,550,1,0.893
2900,550,1,0.797
3000,550,0.999,0.709
3100,550,0.978,0.562
3200,550,0.876,0.428
3300,550,0.578,0.402
3400,550,0.255,0.313
3500,550,0.071,0.261
2700,575,1,0.974
2800,575,1,0.942
2900,575,1,0.913
3000,575,1,0.833
3100,575,1,0.727
3200,575,0.989,0.627
3300,575,0.913,0.524
3400,575,0.711,0.418
3500,575,0.398,0.347
2700,600,1,0.992
2800,600,1,0.98
2900,600,1,0.961
3000,600,1,0.929
3100,600,1,0.839
3200,600,0.999,0.779
3300,600,0.996,0.682
3400,600,0.96,0.548
3500,600,0.821,0.439
