"snr","trial","stoppingT"
0.06,"V177",1069
0.06,"V178",856
0.06,"V179",2400
0.06,"V180",865
0.06,"V181",1863
0.06,"V182",2400
0.06,"V183",335
0.06,"V184",2400
0.06,"V185",2400
0.06,"V186",279
0.06,"V187",2400
0.06,"V188",1038
0.06,"V189",992
0.06,"V190",2400
0.06,"V191",77
0.06,"V192",1145
0.06,"V193",958
0.06,"V194",2400
0.06,"V195",1555
0.06,"V196",851
0.06,"V197",2400
0.06,"V198",2400
0.06,"V199",2400
0.06,"V200",2400
0.08,"V1",1094
0.08,"V2",1665
0.08,"V3",1276
0.08,"V4",972
0.08,"V5",1857
0.08,"V6",1738
0.08,"V7",2400
0.08,"V8",532
0.08,"V9",967
0.08,"V10",1178
0.08,"V11",1196
0.08,"V12",1019
0.08,"V13",1020
0.08,"V14",1770
0.08,"V15",2159
0.08,"V16",1050
0.08,"V17",1047
0.08,"V18",885
0.08,"V19",1239
0.08,"V20",911
0.08,"V21",1429
0.08,"V22",1141
0.08,"V23",714
0.08,"V24",852
0.08,"V25",1038
0.08,"V26",1039
0.08,"V27",1197
0.08,"V28",908
0.08,"V29",1082
0.08,"V30",1249
0.08,"V31",1181
0.08,"V32",2400
0.08,"V33",1040
0.08,"V34",899
0.08,"V35",2099
0.08,"V36",2400
0.08,"V37",836
0.08,"V38",1123
0.08,"V39",1026
0.08,"V40",2400
0.08,"V41",954
0.08,"V42",1127
0.08,"V43",1078
0.08,"V44",1956
0.08,"V45",1135
0.08,"V46",1100
0.08,"V47",766
0.08,"V48",968
0.08,"V49",1417
0.08,"V50",640
0.08,"V51",2400
0.08,"V52",2400
0.08,"V53",1217
0.08,"V54",899
0.08,"V55",2328
0.08,"V56",2400
0.08,"V57",728
0.08,"V58",1326
0.08,"V59",1056
0.08,"V60",2400
0.08,"V61",1384
0.08,"V62",55
0.08,"V63",836
0.08,"V64",2400
0.08,"V65",1238
0.08,"V66",1474
0.08,"V67",674
0.08,"V68",1134
0.08,"V69",1920
0.08,"V70",1052
0.08,"V71",965
0.08,"V72",2371
0.08,"V73",2400
0.08,"V74",1289
0.08,"V75",2400
0.08,"V76",2400
0.08,"V77",1092
0.08,"V78",1268
0.08,"V79",1101
0.08,"V80",1794
0.08,"V81",1185
0.08,"V82",1206
0.08,"V83",1917
0.08,"V84",2400
0.08,"V85",1729
0.08,"V86",848
0.08,"V87",889
0.08,"V88",1057
0.08,"V89",1618
0.08,"V90",836
0.08,"V91",1498
0.08,"V92",1550
0.08,"V93",912
0.08,"V94",1350
0.08,"V95",836
0.08,"V96",2400
0.08,"V97",1035
0.08,"V98",1183
0.08,"V99",1097
0.08,"V100",2400
0.08,"V101",851
0.08,"V102",2400
0.08,"V103",869
0.08,"V104",836
0.08,"V105",940
0.08,"V106",927
0.08,"V107",1010
0.08,"V108",1030
0.08,"V109",1065
0.08,"V110",1282
